cr_id,gender,age,race
1000779,FEMALE,31.0,WHITE
1000780,FEMALE,39.0,BLACK
1000781,MALE,42.0,BLACK
1000782,MALE,51.0,BLACK
1000783,FEMALE,47.0,BLACK
1000785,MALE,54.0,BLACK
1000786,FEMALE,46.0,HISPANIC
1000787,FEMALE,28.0,BLACK
1000788,FEMALE,54.0,WHITE
1000790,FEMALE,46.0,BLACK
1000791,MALE,51.0,WHITE
1000792,MALE,,WHITE
1000793,FEMALE,51.0,BLACK
1000794,MALE,58.0,BLACK
1000795,MALE,,
1000796,FEMALE,29.0,BLACK
1000797,FEMALE,43.0,BLACK
1000798,FEMALE,37.0,HISPANIC
1000800,FEMALE,45.0,BLACK
1000801,FEMALE,49.0,WHITE
1000802,FEMALE,51.0,BLACK
1000803,MALE,54.0,ASIAN/PACIFIC ISLANDER
1000804,MALE,30.0,BLACK
1000805,FEMALE,,WHITE
1000806,FEMALE,38.0,BLACK
1000808,MALE,43.0,BLACK
1000809,MALE,34.0,BLACK
1000810,FEMALE,54.0,BLACK
1000811,FEMALE,,WHITE
1000812,MALE,43.0,BLACK
1000813,MALE,,BLACK
1000814,FEMALE,76.0,BLACK
1000815,MALE,,BLACK
1000817,MALE,45.0,BLACK
1000818,FEMALE,35.0,BLACK
1000819,FEMALE,33.0,BLACK
1000820,,,
1000821,MALE,,
1000823,MALE,32.0,HISPANIC
1000824,MALE,43.0,BLACK
1000825,MALE,,
1000826,FEMALE,,HISPANIC
1000829,MALE,49.0,BLACK
1000830,MALE,53.0,BLACK
1000831,MALE,47.0,HISPANIC
1000832,FEMALE,43.0,BLACK
1000836,MALE,37.0,HISPANIC
1000839,MALE,45.0,BLACK
1000840,MALE,55.0,WHITE
1000842,MALE,54.0,BLACK
1000844,MALE,38.0,BLACK
1000846,MALE,53.0,BLACK
1000847,MALE,68.0,WHITE
1000849,FEMALE,46.0,BLACK
1000850,FEMALE,55.0,HISPANIC
1000851,MALE,33.0,HISPANIC
1000851,MALE,42.0,HISPANIC
1000853,FEMALE,34.0,HISPANIC
1000854,FEMALE,30.0,HISPANIC
1000855,MALE,,WHITE
1000856,FEMALE,64.0,BLACK
1000857,FEMALE,36.0,BLACK
1000858,FEMALE,49.0,WHITE
1000859,FEMALE,61.0,BLACK
1000860,MALE,28.0,WHITE
1000860,FEMALE,80.0,WHITE
1000861,MALE,50.0,BLACK
1000862,MALE,29.0,HISPANIC
1000863,MALE,56.0,BLACK
1000864,FEMALE,67.0,BLACK
1000865,MALE,,BLACK
1000866,MALE,43.0,WHITE
1000867,MALE,52.0,BLACK
1000868,FEMALE,48.0,BLACK
1000869,MALE,,BLACK
1000870,MALE,54.0,BLACK
1000871,MALE,56.0,BLACK
1000872,FEMALE,,BLACK
1000873,MALE,64.0,WHITE
1000874,MALE,36.0,BLACK
1000875,MALE,38.0,BLACK
1000876,MALE,42.0,BLACK
1000878,FEMALE,49.0,HISPANIC
1000879,FEMALE,,WHITE
1000881,FEMALE,35.0,BLACK
1000882,MALE,,BLACK
1000883,FEMALE,37.0,BLACK
1000886,FEMALE,47.0,BLACK
1000888,MALE,58.0,BLACK
1000889,MALE,49.0,BLACK
1000890,FEMALE,46.0,BLACK
1000891,FEMALE,,BLACK
1000892,FEMALE,38.0,BLACK
1000893,FEMALE,36.0,BLACK
1000894,MALE,90.0,BLACK
1000895,MALE,51.0,HISPANIC
1000896,FEMALE,50.0,HISPANIC
1000897,MALE,34.0,BLACK
1000899,MALE,55.0,HISPANIC
1000900,FEMALE,80.0,WHITE
1000901,FEMALE,44.0,BLACK
1000903,MALE,,BLACK
1000903,FEMALE,64.0,HISPANIC
1000907,FEMALE,,BLACK
1000908,FEMALE,46.0,WHITE
1000909,MALE,47.0,BLACK
1000910,MALE,90.0,NATIVE AMERICAN/ALASKAN NATIVE
1000911,MALE,57.0,BLACK
1000912,MALE,57.0,BLACK
1000913,FEMALE,33.0,BLACK
1000914,MALE,,BLACK
1000916,MALE,44.0,BLACK
1000917,FEMALE,54.0,WHITE
1000919,MALE,70.0,
1000920,MALE,49.0,WHITE
1000921,MALE,52.0,WHITE
1000922,MALE,58.0,HISPANIC
1000925,FEMALE,42.0,BLACK
1000926,MALE,44.0,BLACK
1000927,FEMALE,29.0,BLACK
1000928,MALE,65.0,WHITE
1000929,MALE,69.0,WHITE
1000930,FEMALE,43.0,BLACK
1000931,MALE,67.0,BLACK
1000932,MALE,44.0,WHITE
1000933,FEMALE,,BLACK
1000934,MALE,46.0,WHITE
1000936,MALE,41.0,WHITE
1000936,MALE,53.0,HISPANIC
